position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCniN0ISD1fvzx7guAkA6llw,ENGEEK,nBHSZPgVlgA,2024-04-17T21:00:07Z,"2024-04-17 21:00:07","Liberdade de expressão para mim, dik-ta-dura para os outros!","O sonho de viver de YouTube não é sorte, é método... e o método tá ali. ➡️ https://cursoengeek.com.br ✅ Produto testado + resultados comprovados. ✅ Necessário: apenas um celular ✅ Conteúdo de qualidade. ✅ De zero ao avançado ✅ Preço abaixo do mercado. ✅ Reembolso de apenas 0,7% ✅ LINKTREE DO CANAL ENGEEK https://linktr.ee/engeek • Servidor do Discord • Grupo do ZAP • Instagram 🎬 CRÉDITOS Roteiro: Luis Enrique sem H Edição: Luis Enrique sem H Arte: Luis Enrique sem H Direção: Luis Enrique sem H Dublagem: Luis Enrique sem H Humor duvidoso: Luis Enrique sem H Pesquisa: Luis Enrique sem H Revisão: Luis Enrique sem H Dono do canal: Luis Enrique sem H 📌 POUCOS VIDEOS PARA MANTER A QUALIDADE • Dá trabalho pra fazer meu nobre, enquanto não sai vídeo, assista esses que você vai gostar: https://www.youtube.com/playlist?list=PLuWk3lWovqmyaoWBukqJBbODMcMrnGTgN 💠 GOSTOU DO VÍDEO? Comente ""Calabresinha Frita"" 10 vezes e mande esse vídeo para os seus amigos 📧 Parcerias - Publicidade: suporteengeek@gmail.com #engeek","engeek,humor,piada,meme,liberdade de expressão",24,Entertainment,"Humour,Society",PT13M57S,837,2d,hd,false,pt-PT,pt-PT,https://i.ytimg.com/vi/nBHSZPgVlgA/maxresdefault.jpg,1,,,,,711028,48112,,0,2107
2,UCxcDCeShqZWIUQuEo2iJSVA,AchismosTV,GUjHvMWvXo8,2025-10-20T14:00:06Z,"2025-10-20 14:00:06","MONARK FALA SOBRE LIBERDADE DE EXPRESSÃO, MÍDIA E OPINIÃO | #ACHISMOS PODCAST #387","Entre muitos achismos sobre cancelamento na internet, convidamos alguém que viveu isso na pele: Monark. No episódio de hoje, ele fala sobre a vida depois do cancelamento, as consequências que pouca gente imagina, o impacto emocional e muito mais. MAURÍCIO MEIRELLES @maumeirelles https://www.instagram.com/maumeirelles/ Ah! Você já conhece nosso canal de CORTES DO ACHISMOS TV? Bora ver o melhor dos vídeos lá: youtube.com/@CortesAchismosFM Use o cupom ACHISMOSTV e garanta 12% de desconto em todo o site. ATÉ DIA 19/10: Use o cupom ACHISMOSTV e garanta 35% de desconto em todo o site. A PARTIR DE 20/10: Black Friday Antecipada. Use o cupom ACHISMOSTV e garanta até 50% de desconto em todo o site: https://creators.insiderstore.com.br/ACHISMOS #insiderstore Assista o meu novo Especial de Comédia: EXTREMO ISENTO! Aprovado por apenas 1% dos brasileiros: https://www.youtube.com/watch?v=VNZ844squ-Q Conheça e se inscreva no meu canal de comédia: https://www.youtube.com/@COMEDIAMAURICIOMEIRELLES Vem pro meu canal no Telegram: https://bit.ly/3MDFZLh Bora ver meu show com Webbullying no teatro: https://www.mauriciomeirelles.com.br Índice do vídeo 00:00 - Abertura 1:05 - Convidado 3:01 - Monark se arrependeu? 4:16 - O mundo é feito de máfias 8:47 - Monark Day 11:37 - O começo da internet 18:15 - Liberdade de expressão 26:56 - A ida para os Estados Unidos 32:25 - O cancelamento 35:21 - Vivemos em uma ditadura? 38:00 - Porque o Monark voltou para o Brasil? 43:51 - Existe um submundo na mídia? 46:11 - Flow sustenta o Monark 51:15 - Monark de hoje x Monark antigo 57:40 - Direita x Esquerda 01:03:40 - Coisas sobrenaturais 01:10:56 - Problema do mundo são as dinastias? 01:12:08 - Ateus são burros? 01:16:53 - Monark se decepcionou com as pessoas 01:23:13 - O que é liberdade? 01:37:49 - Foi tudo culpa da máfia? 02:07:05 - Encerramento #achismos #conversa #podcast #mauriciomeirelles #maumeirelles #achismospodcast #3continentes #achismosopinião #achismostech #achismosreact #achismoshistorias #achismostv #monark #flow #cancelamento #mafias #liberdadedeexpressão #opinião","Maurício Meirelles facebullying humor humorista comédia comediante,mau meirelles,mauricio meirelles,webbullying,perdendo amigos,levando o caos,totalmente devaneio,divagando,Traumas,StandUp,video show,maurício meirelles,facebully,achismos,conversa,bate papo,podcast,achismos tv,achismos react,achismos historias,achismos 3 continentes,3 continentes,entrevista,humor,paul cabannes,baptista miranda,monark,flow podcast,estados unidos,monark talks,cancelamento",23,Comedy,Society,PT2H7M43S,463,2d,hd,true,pt,pt,https://i.ytimg.com/vi/GUjHvMWvXo8/maxresdefault.jpg,1,1,,,,682930,29655,,0,8716
3,UCBQAI1ZhurW3nbtJR-gBBZg,"Revista Oeste",DkwZdTQIN9I,2024-12-06T03:00:11Z,"2024-12-06 03:00:11","OESTE SEM FILTRO - DEPUTADOS LANÇAM FRENTE EM DEFESA DA LIBERDADE DE EXPRESSÃO - 05/12/2024","Augusto Nunes, Ana Paula Henkel, Silvio Navarro, Adalberto Piotto e Rodrigo Constantino estão reunidos em Oeste Sem Filtro, apresentado por Paula Leal. O programa vai ao ar de segunda a sexta-feira, das 17h45 às 19h45. Assine a Revista Oeste: https://br.revistaoeste.com/assine/?utm_source=OSF&utm_medium=YT&utm_campaign=Vendas&utm_term=&utm_content= Acesse a Revista Oeste: https://revistaoeste.com/ Precisa de ajuda com sua assinatura? entre em contato com a nossa equipe/ whatsapp (11) 96059-8900 ou envie um e-mail para: contato@revistaoeste.com Assista ao Estúdio Oeste comandado por Sílvio Navarro no link abaixo: https://youtube.com/live/6SU0nuEU6ME?feature=share Acompanhe a reportagem especial do Oeste Sem Filtro, sobre os brasileiros exilados na Argentina, no link abaixo: https://youtu.be/FYvY-78INSE Assista aos cortes de Oeste Sem Filtro no link abaixo: https://www.youtube.com/playlist?list=PLa6ZAwmKhIlq-PCyJ2OTO3QFwIT2I63HU Reprises de Oeste Sem Filtro no link abaixo: https://www.youtube.com/playlist?list=PLa6ZAwmKhIlru2DRwT1cZl61JOr3Y3trg -------------------------------------------------------------------------------------------------------------------------------------------------------------- Últimos para ter a Brasil Paralelo para sempre. Aproveite o Black November para garantir seu Acesso Vitalício: pagamento único, sem renovação, e acesso a todos os futuros lançamentos! 👉 Acesse brasilparalelo.com.br/oeste e invista em conteúdo de valor! --------------------------------------------------------------------------------------------------------------------------------------------------------------- NOTICIA IMPORTANTE PARA SUA SAÚDE: À pedidos, segue o canal de atendimento do Ora Pro Nóbis da Vitae Gold exclusivo para telespectadores da Revista Oeste. Nesse link você terá um atendimento diferenciado para entender como o Ora Pro Nobis irá te ajudar a melhorar suas dores crônicas e você garante o desconto de 70% e o BRINDE exclusivo para vocês que assistem a Oeste. https://bit.ly/3YLdCne -------------------------------------------------------------------------------------------------------------------------------------------------------------- Acompanhe A Força do Agro também no canal oficial A Força Do Agro: Inscreva-se aqui: https://www.youtube.com/channel/UCAnI-Uu3Rr-EN7XY84eHKdw Siga o nosso perfil no Instagram: @aforcadoagro.um https://www.instagram.com/aforcadoagro.um?igsh=dzhqbHYxZ296OHB0Augusto Nunes, Ana Paula Henkel, Silvio Navarro, Adalberto Piotto e Rodrigo Constantino estão reunidos em Oeste Sem Filtro, apresentado por Paula Leal. O programa vai ao ar de segunda a sexta-feira, das 17h45 às 19h45. Assine a Revista Oeste: https://br.revistaoeste.com/assine/?utm_source=OSF&utm_medium=YT&utm_campaign=Vendas&utm_term=&utm_content= Acesse a Revista Oeste: https://revistaoeste.com/ Precisa de ajuda com sua assinatura? entre em contato com a nossa equipe/ whatsapp (11) 96059-8900 ou envie um e-mail para: contato@revistaoeste.com Assista ao Estúdio Oeste comandado por Sílvio Navarro no link abaixo: https://youtube.com/live/6SU0nuEU6ME?feature=share Acompanhe a reportagem especial do Oeste Sem Filtro, sobre os brasileiros exilados na Argentina, no link abaixo: https://youtu.be/FYvY-78INSE Assista aos cortes de Oeste Sem Filtro no link abaixo: https://www.youtube.com/playlist?list=PLa6ZAwmKhIlq-PCyJ2OTO3QFwIT2I63HU Reprises de Oeste Sem Filtro no link abaixo: https://www.youtube.com/playlist?list=PLa6ZAwmKhIlru2DRwT1cZl61JOr3Y3trg -------------------------------------------------------------------------------------------------------------------------------------------------------------- Últimos para ter a Brasil Paralelo para sempre. Aproveite o Black November para garantir seu Acesso Vitalício: pagamento único, sem renovação, e acesso a todos os futuros lançamentos! 👉 Acesse brasilparalelo.com.br/oeste e invista em conteúdo de valor! --------------------------------------------------------------------------------------------------------------------------------------------------------------- NOTICIA IMPORTANTE PARA SUA SAÚDE: À pedidos, segue o canal de atendimento do Ora Pro Nóbis da Vitae Gold exclusivo para telespectadores da Revista Oeste. Nesse link você terá um atendimento diferenciado para entender como o Ora Pro Nobis irá te ajudar a melhorar suas dores crônicas e você garante o desconto de 70% e o BRINDE exclusivo para vocês que assistem a Oeste. https://bit.ly/3YLdCne -------------------------------------------------------------------------------------------------------------------------------------------------------------- Acompanhe A Força do Agro também no canal oficial A Força Do Agro: Inscreva-se aqui: https://www.youtube.com/channel/UCAnI-Uu3Rr-EN7XY84eHKdw Siga o nosso perfil no Instagram: @aforcadoagro.um https://www.instagram.com/aforcadoagro.um?igsh=dzhqbHYxZ296OHB0",,25,"News & Politics","Politics,Society,Television_program",PT5H49M25S,2965,2d,hd,false,pt-BR,pt-BR,https://i.ytimg.com/vi/DkwZdTQIN9I/maxresdefault.jpg,1,,,,,453815,56124,,0,84
4,UCh7TUTXojlE8vRtb-EnuDzw,Metaforando,Q2oM-tIU5pI,2025-06-05T14:25:47Z,"2025-06-05 14:25:47","Liberdade de Expressão: O Caso Léo Lins #shorts",,"leo lins preso,leo lins condenado,leo lins piadas preconceituosas,leo lins racismo,leo lins sentença,leo lins processo judicial,leo lins humor negro,leo lins comédia,leo lins show perturbador,leo lins indenização,leo lins defesa,leo lins apoio humoristas,leo lins danilo gentili,leo lins análise,linguagem corporal,comunicação não verbal,metaforando,curso metaforando,análise metaforando,como analisar pessoas",24,Entertainment,"Humour,Society",PT1M23S,83,2d,hd,false,pt-PT,pt-PT,https://i.ytimg.com/vi/Q2oM-tIU5pI/maxresdefault.jpg,1,,,,,783283,50086,,0,2004
5,UCRRy-8RPGUsC_WATzeSCuTw,"Hamlet ARL",jfd9MUoQkVY,2024-01-18T15:00:41Z,"2024-01-18 15:00:41","O EPISÓDIO DE GUMBALL SOBRE LIBERDADE DE EXPRESSÃO","O EPISÓDIO DE GUMBALL SOBRE LIBERDADE DE EXPRESSÃO Um episódio de o incrível mundo de gumball focado na liberdade de se expressar do Darwin, talvez não da maneira que você esteja imaginando, mas de uma maneira bem legal, mesmo assim #hamletarl 😵‍💫 SEJA MEMBRO 😵‍💫 ~ Me segue nas redes sociais: @hamletarl Contato: hamlet@uoon.ag ___________________________________________________________________________________ Edição: @m4rinoa Edição: @MrGadwel Artista: @tomatheos Artista: @YhnCmps Artista: @dot_zack Artista: @Depre_Art Recomendação de livro pra iniciar em filosofia: O Mundo de Sofia e Cartas de um Estoico. As músicas que eu uso estão todas em uma playlist no canal. Esse é só o início. 🎂","Hamlet,hamlet canal,ARL,hamlet arl,hamletarl,hamlet irl,hamlet art,art,filosofia,estoicismo,analise,review,análise,O EPISÓDIO DE GUMBALL SOBRE LIBERDADE DE EXPRESSÃO,o incrível mundo de gumball,gumball,mundo,de,incrível,gumball review,liberdade,liberdade de expressão,expressão",24,Entertainment,"Entertainment,Film",PT10M26S,626,2d,hd,false,pt,pt,https://i.ytimg.com/vi/jfd9MUoQkVY/maxresdefault.jpg,1,,,,,382307,34567,,0,450
6,UC6wKmiSsOp5u-2ZKHqifAdg,"Os Brabos Videos",0AF1DpiKBxk,2014-05-24T23:27:52Z,"2014-05-24 23:27:52","MC PIVETE LIBERDADE DE EXPRESSÃO CLIPE OFICIAL FULL HD",,,10,Music,"Hip_hop_music,Music,Music_of_Latin_America",PT4M22S,262,2d,hd,false,pt-PT,pt-PT,https://i.ytimg.com/vi/0AF1DpiKBxk/maxresdefault.jpg,1,,,,,324239,3227,,0,63
7,UCV6Ue4o5UIeKQ3IEkjnXRlg,VEJA+,WrpVrKVK8xM,2025-09-09T21:49:23Z,"2025-09-09 21:49:23","Trump “não hesita em usar poder militar” pela liberdade de expressão no mundo, diz porta-voz","Durante coletiva realizada nesta terça-feira na Casa Branca, a porta-voz Karoline Leavitt foi questionada sobre possíveis medidas adicionais contra o Brasil, diante do julgamento do ex-presidente Jair Bolsonaro no STF. Leavitt afirmou que “a liberdade de expressão é possivelmente a questão mais importante da nossa época” e disse que o governo Donald Trump leva o tema muito a sério. Ela ressaltou que os EUA já aplicaram sanções e tarifas contra o Brasil e declarou que o presidente “não hesita em usar o poder econômico e militar dos Estados Unidos para proteger a liberdade de expressão globalmente”. Embora tenha afirmado que, por ora, não há novas ações previstas, a porta-voz deixou claro que a Casa Branca acompanha de perto o julgamento, no qual Bolsonaro pode ser condenado a até 43 anos de prisão se as penas forem somadas. ————————————————————————— Assine VEJA: https://abr.ai/2VZw8dN Confira as últimas notícias sobre o Brasil e o mundo: https://veja.abril.com.br/ SIGA VEJA NAS REDES SOCIAIS: Instagram: http://www.instagram.com/vejanoinsta/ Facebook: http://www.facebook.com/Veja/ Twitter: http://twitter.com/VEJA Telegram: http://t.me/vejaoficial Linkedin: http://www.linkedin.com/company/veja-com/","veja,revista veja,jornalismo,notícias,brasil,últimas notícias,reportagem,mundo,política,notícia de hoje,ao vivo,Revista Veja,notícias brasileiras,atualidades,reportagens investigativas,trump,casa branca,karoline leavitt,eua,estados unidos,bolsonaro,jair bolsonaro,stf,julgamento bolsonaro,trama golpista,liberdade de expressão,sanções,tarifas,poder militar,supremo",25,"News & Politics","Politics,Society",PT2M19S,139,2d,hd,false,pt-BR,pt,https://i.ytimg.com/vi/WrpVrKVK8xM/maxresdefault.jpg,1,,,,,318301,6498,,0,3771
8,UC9gBKATWNtZCRaKGUVQtDWw,"Epifania Experiência",6WCGIKrozCA,2021-12-09T22:29:51Z,"2021-12-09 22:29:51","O que você acha sobre ███ ? | LIBERDADE DE EXPRESSÃO EXISTE?","► Curso ESSÊNCIA DA FILOSOFIA: https://hotm.art/jZ3u3f92 ► Telegram: https://t.me/epifaniaexperienciaoficial -------------------------------------------------------------------------------------------------------- ► Instagram: https://www.instagram.com/epifaniaexperiencia ► Instagram (pessoal): https://www.instagram.com/alexandrepessoass -------------------------------------------------------------------------------------------------------- O que você acha sobre ███ ?","Epifania Experiência,Epifania,Experiência,Liberdade de expressão,Filosofia de bar,monark ifood,Flow ifood,o que é liberdade de expressão,fact checking,Epifania Experiência filosofia,suavemente,censura,Epifania experiência liberdade de expressão,fact checkers,que checa os checadores,checadores de fatos,ancap,libertarianismo,Flow censura,pensador livre,ludoviajante,liberalismo,piiii,checagem de fatos,filosofia barata,epifania experiência liberdade,passarócrates",27,Education,,PT4M11S,251,2d,hd,false,pt-PT,pt,https://i.ytimg.com/vi/6WCGIKrozCA/maxresdefault.jpg,1,,,,,283948,45906,,0,1649
9,UCTkMu3Nk15_ilg8frQ46lZg,"Canal UM BRASIL",XDprxQjCYyc,2019-02-05T13:00:04Z,"2019-02-05 13:00:04","Limite da liberdade de expressão é o crime e a ética, por Leandro Karnal","Conhecido por defender o politicamente correto, o historiador e professor da Universidade Estadual de Campinas (Unicamp) Leandro Karnal afirma em entrevista ao UM BRASIL que, no mundo onde se expressar se tornou corriqueiro por meio da internet e de aplicativos de mensagens, as pessoas precisam saber que a liberdade de opinião é válida contanto que não subjugue a lei, faça apologia ao crime ou transgrida a ética. “O politicamente correto, que parece um pouco pejorativo, é uma convicção de que palavras ferem, de que jovens adolescentes se matam porque escutam que são feios, gordos, burros ou gays”, frisa Karnal. “Não é, portanto, algo inocente, e não se trata da minha liberdade. A minha liberdade de expressão sempre tem um limite, que é a zona do crime e da ética”, completa. De acordo com o historiador, dispositivos tecnológicos, como smartphones, facilitaram a propagação de opiniões, e as pessoas se sentem inclinadas a se expressar nas redes sociais porque, no mundo atual, “se não publiquei ou não fotografei, não existiu”. No entanto, ele reforça que, no que diz respeito à expressão de posições e convicções sociais, deve-se respeitar a soberania da lei. “Posso dizer o que quero, mas não posso defender o racismo, porque não é apenas uma ofensa à razão, é um crime inafiançável e imprescritível. Posso defender ideias, mas não posso fazer apologia às drogas, porque é previsto como equivocado pela lei”, exemplifica. Karnal também chama a atenção para o potencial destrutivo da linguagem. Segundo ele, a violência praticada hoje foi uma piada aparentemente inofensiva ontem. “Temos de ter cuidado porque toda piada contém um ataque, e esse ataque autoriza, do ponto de vista da linguagem, uma violência real. Por isso que se dizia na década de 1930 que os portões de Auschwitz foram abertos pelas piadas. É preciso haver piada antissemita para existir Auschwitz. É preciso alguém ter reproduzido uma idiotice como ‘mulher gosta de apanhar’; ‘mulher é chantili, bate que cresce’; ‘bata na sua esposa ao chegar, não precisa explicar, ela sabe por quê’ – todas essas asneiras um dia vão penetrar no cerebelo de um desequilibrado que vai bater porque se sentiu autorizado linguisticamente por uma cultura. Isso é muito perigoso”, assevera. Para Karnal, o fato de as pessoas expressarem mais facilmente as suas opiniões não é necessariamente ruim. Contudo, avalia que faltam reflexão sobre o que é dito e respeito às diferenças. “O cuidado que se deve ter é que palavra mata, palavra fere, palavra ofende”, pontua o professor. “Acho que ao longo da vida choraremos mais vezes pelo que ouvimos do que por um soco na cara”, conclui. Para saber mais, acesse: umbrasil.com Facebook e Instagram: @canalumbrasil As opiniões expressas neste vídeo não refletem, necessariamente, a posição do Canal UM BRASIL.","Leandro Karnal,Filosofia,História,História do Brasil,UM BRASIL,liberdade de expressão,FecomercioSP,Canal UM BRASIL,Política,Ética,Ideologia,Gênero,Psicologia,Polarização,Polarização política,Governo,Debate sobre política,esquerda e direita no Brasil,Discurso de ódio,populismo,fake news,Brasil,temas contemporâneos,Enem,Redação Enem,Vestibular",22,"People & Blogs",Society,PT59M33S,3573,2d,hd,false,pt-PT,pt,https://i.ytimg.com/vi/XDprxQjCYyc/maxresdefault.jpg,1,,,,,252767,9341,,0,278
10,UC0f866RMRdL5mSVnipiOHxg,"Canal GNT",nOuH30RG55U,2022-02-17T21:00:45Z,"2022-02-17 21:00:45","Exercendo o direito da LIBERDADE DE EXPRESSÃO | Blogueirinha do fim do mundo | Saia Justa","***ATENÇÃO, ESSE VÍDEO CONTÉM IRONIA*** ""É só a minha opinião!"" No vídeo desta semana, a Blogueirinha do fim do mundo resolveu exercer o direito dela de liberdade de expressão. A blogueirinha do fim do mundo é interpretada pela atriz Maria Bopp #MariaBopp #BlogueirinhaDoFimDoMundo #SaiaJustaNoGNT Inscreva-se no canal GNT: http://bit.ly/canalGNT Assista aos programas na íntegra no Globoplay + Canais: http://bit.ly/GloboplayCanaisGNT Site: https://gnt.globo.com/ Facebook: https://www.facebook.com/gnt Instagram: https://instagram.com/gnt/ Twitter: https://twitter.com/canalgnt Pinterest: https://www.pinterest.com/canalgnt","canal gnt,GNT,canal gnt online,assistir gnt,TV Globo,gnt ao vivo,maria bopp,blogueirinha do fim do mundo,saia justa,saia justa no gnt,maria bopp saia justa,blogueirinha do fim do mundo maria bopp,blogueirinha do fim do mundo saia justa,opinião,liberdade de expressão",24,Entertainment,"Lifestyle_(sociology),Television_program",PT3M33S,213,2d,hd,false,pt-PT,pt,,1,,,,,240392,11195,,0,285
